id,quiz_id,question,options,correct_answer,marks,type
36,4,"What is the capital of Portugal?","{""a"": ""Lisbon"", ""b"": ""London"", ""c"": ""Berlin"", ""d"": ""Madrid""}",a,1,MCQ
37,4,"What is the capital of Greece?","{""a"": ""Athens"", ""b"": ""London"", ""c"": ""Berlin"", ""d"": ""Madrid""}",a,1,MCQ
38,4,"What is the capital of Russia?","{""a"": ""Moscow"", ""b"": ""London"", ""c"": ""Berlin"", ""d"": ""Madrid""}",a,1,MCQ
39,4,"What is the capital of Japan?","{""a"": ""Tokyo"", ""b"": ""London"", ""c"": ""Berlin"", ""d"": ""Madrid""}",a,1,MCQ
40,4,"What is the capital of China?","{""a"": ""Beijing"", ""b"": ""London"", ""c"": ""Berlin"", ""d"": ""Madrid""}",a,1,MCQ
41,5,"What is the synonym of ""happy""?","{""a"": ""Sad"", ""b"": ""Joyful"", ""c"": ""Angry"", ""d"": ""Tired""}",b,1,MCQ
42,5,"What is the antonym of ""big""?","{""a"": ""Small"", ""b"": ""Large"", ""c"": ""Huge"", ""d"": ""Gigantic""}",a,1,MCQ
43,5,"What is the synonym of ""fast""?","{""a"": ""Slow"", ""b"": ""Quick"", ""c"": ""Lazy"", ""d"": ""Tired""}",b,1,MCQ
44,5,"What is the antonym of ""hot""?","{""a"": ""Cold"", ""b"": ""Warm"", ""c"": ""Boiling"", ""d"": ""Scorching""}",a,1,MCQ
45,5,"What is the synonym of ""smart""?","{""a"": ""Dumb"", ""b"": ""Intelligent"", ""c"": ""Stupid"", ""d"": ""Foolish""}",b,1,MCQ
46,5,"What is the antonym of ""early""?","{""a"": ""Late"", ""b"": ""Soon"", ""c"": ""Prompt"", ""d"": ""Punctual""}",a,1,MCQ
47,5,"What is the synonym of ""strong""?","{""a"": ""Weak"", ""b"": ""Powerful"", ""c"": ""Feeble"", ""d"": ""Fragile""}",b,1,MCQ
48,5,"What is the antonym of ""light""?","{""a"": ""Heavy"", ""b"": ""Bright"", ""c"": ""Luminous"", ""d"": ""Radiant""}",a,1,MCQ
49,5,"What is the synonym of ""brave""?","{""a"": ""Cowardly"", ""b"": ""Courageous"", ""c"": ""Fearful"", ""d"": ""Timid""}",b,1,MCQ
50,5,"What is the antonym of ""rich""?","{""a"": ""Poor"", ""b"": ""Wealthy"", ""c"": ""Affluent"", ""d"": ""Prosperous""}",a,1,MCQ
